java_class_path,release,LOC,LOC_Touched,NR,Nfix,Nauth,LOC_Added,Max_LOC_Added,Avg_LOC_Added,Churn,Max_Churn,Avg_Churn,Change_Set_Size,Max_Change_Set,Avg_Change_Set,Age,Weighted_Age,EXP,SEXP,Previous_Release_Code_Smells,isBuggy
openjpa-jdbc/src/main/java/org/apache/openjpa/jdbc/meta/strats/FlatClassStrategy.java,0.9.6,55,90,4,0,3,79,65,19.75,90,65,22.50,2773,1263,693.25,133,11970,52,21,0,false
openjpa-jdbc/src/main/java/org/apache/openjpa/jdbc/meta/strats/FullClassStrategy.java,0.9.6,115,156,3,0,2,146,133,48.67,156,133,52.00,2767,1263,922.33,133,20748,39,10,0,false
openjpa-jdbc/src/main/java/org/apache/openjpa/jdbc/meta/strats/HandlerFieldStrategy.java,0.9.6,352,458,7,0,3,431,401,61.57,458,401,65.43,3170,1263,452.86,133,60914,33,15,0,false
openjpa-jdbc/src/main/java/org/apache/openjpa/jdbc/meta/strats/HandlerStrategies.java,0.9.6,236,290,5,0,3,275,258,55.00,290,258,58.00,3127,1263,625.40,133,38570,29,8,0,false
openjpa-jdbc/src/main/java/org/apache/openjpa/jdbc/meta/strats/IdentityJoinable.java,0.9.6,73,111,5,0,3,99,83,19.80,111,83,22.20,2817,1263,563.40,133,14763,38,17,0,false
openjpa-jdbc/src/main/java/org/apache/openjpa/jdbc/meta/strats/ImmutableValueHandler.java,0.9.6,85,118,3,0,2,108,95,36.00,118,95,39.33,2767,1263,922.33,133,15694,39,10,0,false
openjpa-jdbc/src/main/java/org/apache/openjpa/jdbc/meta/strats/InValueDiscriminatorStrategy.java,0.9.6,133,202,6,0,3,182,144,30.33,202,144,33.67,2807,1263,467.83,133,26866,40,18,0,false
openjpa-jdbc/src/main/java/org/apache/openjpa/jdbc/meta/strats/LRSCollectionFieldStrategy.java,0.9.6,86,125,4,0,3,112,96,28.00,125,96,31.25,2905,1263,726.25,133,16625,30,8,0,false
openjpa-jdbc/src/main/java/org/apache/openjpa/jdbc/meta/strats/LRSMapFieldStrategy.java,0.9.6,131,186,4,0,3,169,149,42.25,186,149,46.50,2905,1263,726.25,133,24738,30,8,0,false
openjpa-jdbc/src/main/java/org/apache/openjpa/jdbc/meta/strats/LRSProxyCollection.java,0.9.6,205,280,5,0,3,256,234,51.20,280,234,56.00,2946,1263,589.20,133,37240,35,15,0,false
openjpa-jdbc/src/main/java/org/apache/openjpa/jdbc/meta/strats/LRSProxyMap.java,0.9.6,375,501,7,0,4,462,430,66.00,501,430,71.57,2972,1263,424.57,133,66633,39,19,0,false
openjpa-jdbc/src/main/java/org/apache/openjpa/jdbc/meta/strats/MapTableFieldStrategy.java,0.9.6,150,218,5,0,3,197,175,39.40,218,175,43.60,2946,1263,589.20,133,28994,35,15,0,false
openjpa-jdbc/src/main/java/org/apache/openjpa/jdbc/meta/strats/MaxEmbeddedBlobFieldStrategy.java,0.9.6,91,129,4,0,2,118,104,29.50,129,104,32.25,2989,1263,747.25,133,17157,36,10,0,false
openjpa-jdbc/src/main/java/org/apache/openjpa/jdbc/meta/strats/MaxEmbeddedByteArrayFieldStrategy.java,0.9.6,81,118,4,0,2,107,93,26.75,118,93,29.50,2989,1263,747.25,133,15694,36,10,0,false
openjpa-jdbc/src/main/java/org/apache/openjpa/jdbc/meta/strats/MaxEmbeddedCharArrayFieldStrategy.java,0.9.6,97,135,4,0,2,124,110,31.00,135,110,33.75,2989,1263,747.25,133,17955,36,10,0,false
openjpa-jdbc/src/main/java/org/apache/openjpa/jdbc/meta/strats/MaxEmbeddedClobFieldStrategy.java,0.9.6,69,105,4,0,2,94,80,23.50,105,80,26.25,2989,1263,747.25,133,13965,36,10,0,false
openjpa-jdbc/src/main/java/org/apache/openjpa/jdbc/meta/strats/MaxEmbeddedLobFieldStrategy.java,0.9.6,225,295,5,0,3,278,260,55.60,295,260,59.00,3127,1263,625.40,133,39235,29,8,0,false
openjpa-jdbc/src/main/java/org/apache/openjpa/jdbc/meta/strats/NoneClassStrategy.java,0.9.6,72,109,3,0,2,99,86,33.00,109,86,36.33,2767,1263,922.33,133,14497,39,10,0,false
openjpa-jdbc/src/main/java/org/apache/openjpa/jdbc/meta/strats/NoneDiscriminatorStrategy.java,0.9.6,47,78,3,0,2,68,55,22.67,78,55,26.00,2767,1263,922.33,133,10374,39,10,0,false
openjpa-jdbc/src/main/java/org/apache/openjpa/jdbc/meta/strats/NoneFieldStrategy.java,0.9.6,43,74,3,0,2,64,51,21.33,74,51,24.67,2767,1263,922.33,133,9842,39,10,0,false
openjpa-jdbc/src/main/java/org/apache/openjpa/jdbc/meta/strats/NoneVersionStrategy.java,0.9.6,44,75,3,0,2,65,52,21.67,75,52,25.00,2767,1263,922.33,133,9975,39,10,0,false
openjpa-jdbc/src/main/java/org/apache/openjpa/jdbc/meta/strats/NumberVersionStrategy.java,0.9.6,51,83,3,0,2,73,60,24.33,83,60,27.67,2767,1263,922.33,133,11039,39,10,0,true
openjpa-jdbc/src/main/java/org/apache/openjpa/jdbc/meta/strats/ObjectIdClassStrategy.java,0.9.6,41,69,3,0,2,59,46,19.67,69,46,23.00,2767,1263,922.33,133,9177,39,10,0,false
openjpa-jdbc/src/main/java/org/apache/openjpa/jdbc/meta/strats/ObjectIdValueHandler.java,0.9.6,71,106,4,0,2,95,81,23.75,106,81,26.50,2989,1263,747.25,133,14098,36,10,0,false
openjpa-jdbc/src/main/java/org/apache/openjpa/jdbc/meta/strats/PrimitiveFieldStrategy.java,0.9.6,356,439,6,0,3,421,400,70.17,439,400,73.17,3167,1263,527.83,133,58387,32,13,0,false
openjpa-jdbc/src/main/java/org/apache/openjpa/jdbc/meta/strats/PrimitiveWrapperArrays.java,0.9.6,78,108,3,0,2,98,85,32.67,108,85,36.00,2767,1263,922.33,133,14364,39,10,0,false
openjpa-jdbc/src/main/java/org/apache/openjpa/jdbc/meta/strats/RelationCollectionInverseKeyFieldStrategy.java,0.9.6,80,131,5,0,3,114,94,22.80,131,94,26.20,2946,1263,589.20,133,17423,35,15,0,false
openjpa-jdbc/src/main/java/org/apache/openjpa/jdbc/meta/strats/RelationCollectionTableFieldStrategy.java,0.9.6,79,130,5,0,3,113,93,22.60,130,93,26.00,2946,1263,589.20,133,17290,35,15,0,false
openjpa-jdbc/src/main/java/org/apache/openjpa/jdbc/meta/strats/RelationFieldStrategy.java,0.9.6,769,1012,16,0,4,937,731,58.56,1012,731,63.25,3261,1263,203.81,133,134596,34,19,0,true
openjpa-jdbc/src/main/java/org/apache/openjpa/jdbc/meta/strats/RelationMapInverseKeyFieldStrategy.java,0.9.6,143,222,5,0,3,196,170,39.20,222,170,44.40,2946,1263,589.20,133,29526,35,15,0,false
openjpa-jdbc/src/main/java/org/apache/openjpa/jdbc/meta/strats/RelationMapTableFieldStrategy.java,0.9.6,143,222,5,0,3,196,170,39.20,222,170,44.40,2946,1263,589.20,133,29526,35,15,0,false
openjpa-jdbc/src/main/java/org/apache/openjpa/jdbc/meta/strats/RelationStrategies.java,0.9.6,189,242,5,0,4,230,207,46.00,242,207,48.40,2773,1263,554.60,133,32186,33,14,0,true
openjpa-jdbc/src/main/java/org/apache/openjpa/jdbc/meta/strats/RelationToManyInverseKeyFieldStrategy.java,0.9.6,299,422,10,0,3,382,309,38.20,422,309,42.20,2962,1263,296.20,133,56126,35,20,0,false
openjpa-jdbc/src/main/java/org/apache/openjpa/jdbc/meta/strats/RelationToManyTableFieldStrategy.java,0.9.6,234,334,7,0,3,302,276,43.14,334,276,47.71,2958,1263,422.57,133,44422,33,13,0,false
openjpa-jdbc/src/main/java/org/apache/openjpa/jdbc/meta/strats/StateComparisonVersionStrategy.java,0.9.6,276,396,5,0,3,363,321,72.60,396,321,79.20,2777,1263,555.40,133,52668,29,9,0,false
openjpa-jdbc/src/main/java/org/apache/openjpa/jdbc/meta/strats/StoreCollectionFieldStrategy.java,0.9.6,470,615,5,0,3,568,527,113.60,615,527,123.00,2946,1263,589.20,133,81795,35,15,0,false
openjpa-jdbc/src/main/java/org/apache/openjpa/jdbc/meta/strats/StringFieldStrategy.java,0.9.6,216,293,6,0,3,276,257,46.00,293,257,48.83,3167,1263,527.83,133,38969,32,13,0,false
openjpa-jdbc/src/main/java/org/apache/openjpa/jdbc/meta/strats/SubclassJoinDiscriminatorStrategy.java,0.9.6,141,203,5,0,3,186,161,37.20,203,161,40.60,2800,1263,560.00,133,26999,42,18,0,false
openjpa-jdbc/src/main/java/org/apache/openjpa/jdbc/meta/strats/SuperclassDiscriminatorStrategy.java,0.9.6,62,113,6,0,3,95,62,15.83,113,62,18.83,2809,1263,468.17,133,15029,43,21,0,false
openjpa-jdbc/src/main/java/org/apache/openjpa/jdbc/meta/strats/SuperclassVersionStrategy.java,0.9.6,42,71,3,0,2,61,48,20.33,71,48,23.67,2767,1263,922.33,133,9443,39,10,0,true
openjpa-jdbc/src/main/java/org/apache/openjpa/jdbc/meta/strats/TimestampVersionStrategy.java,0.9.6,36,66,3,0,2,56,43,18.67,66,43,22.00,2767,1263,922.33,133,8778,39,10,0,true
openjpa-jdbc/src/main/java/org/apache/openjpa/jdbc/meta/strats/UntypedPCValueHandler.java,0.9.6,105,148,4,0,3,135,119,33.75,148,119,37.00,2905,1263,726.25,133,19684,30,8,0,false
openjpa-jdbc/src/main/java/org/apache/openjpa/jdbc/meta/strats/ValueMapDiscriminatorStrategy.java,0.9.6,114,161,5,0,3,147,129,29.40,161,129,32.20,2860,1263,572.00,133,21413,38,15,0,false
openjpa-jdbc/src/main/java/org/apache/openjpa/jdbc/meta/strats/VerticalClassStrategy.java,0.9.6,130,174,3,0,2,164,151,54.67,174,151,58.00,2767,1263,922.33,133,23142,39,10,0,false
openjpa-jdbc/src/main/java/org/apache/openjpa/jdbc/schema/Column.java,0.9.6,641,741,5,0,3,726,707,145.20,741,707,148.20,2816,1263,563.20,133,98553,46,22,0,false
openjpa-jdbc/src/main/java/org/apache/openjpa/jdbc/schema/ColumnIO.java,0.9.6,266,338,5,0,3,323,287,64.60,338,287,67.60,2815,1263,563.00,133,44954,40,15,0,false
openjpa-jdbc/src/main/java/org/apache/openjpa/jdbc/schema/Constraint.java,0.9.6,165,208,3,0,2,198,185,66.00,208,185,69.33,2767,1263,922.33,133,27664,39,10,0,false
openjpa-jdbc/src/main/java/org/apache/openjpa/jdbc/schema/DataSourceFactory.java,0.9.6,242,344,7,0,3,308,281,44.00,344,281,49.14,2888,1263,412.57,133,45752,35,17,0,false
openjpa-jdbc/src/main/java/org/apache/openjpa/jdbc/schema/DriverDataSource.java,0.9.6,89,135,5,0,3,123,64,24.60,135,64,27.00,2822,1263,564.40,133,17955,37,17,0,false
openjpa-jdbc/src/main/java/org/apache/openjpa/jdbc/schema/DynamicSchemaFactory.java,0.9.6,118,179,5,0,3,165,143,33.00,179,143,35.80,2811,1263,562.20,133,23807,46,18,0,false
openjpa-jdbc/src/main/java/org/apache/openjpa/jdbc/schema/FileSchemaFactory.java,0.9.6,87,123,3,0,2,113,100,37.67,123,100,41.00,2767,1263,922.33,133,16359,39,10,0,false
openjpa-jdbc/src/main/java/org/apache/openjpa/jdbc/schema/ForeignKey.java,0.9.6,640,798,7,0,3,763,683,109.00,798,683,114.00,2915,1263,416.43,133,106134,37,16,0,false
openjpa-jdbc/src/main/java/org/apache/openjpa/jdbc/schema/Index.java,0.9.6,72,105,3,0,2,95,82,31.67,105,82,35.00,2767,1263,922.33,133,13965,39,10,0,false
openjpa-jdbc/src/main/java/org/apache/openjpa/jdbc/schema/LazySchemaFactory.java,0.9.6,162,222,4,0,2,208,190,52.00,222,190,55.50,2806,1263,701.50,133,29526,40,12,0,false
openjpa-jdbc/src/main/java/org/apache/openjpa/jdbc/schema/LocalConstraint.java,0.9.6,163,207,3,0,2,197,184,65.67,207,184,69.00,2767,1263,922.33,133,27531,39,10,0,false
openjpa-jdbc/src/main/java/org/apache/openjpa/jdbc/schema/NameSet.java,0.9.6,66,106,6,0,3,93,73,15.50,106,73,17.67,2939,1263,489.83,133,14098,37,14,0,false
