rank,class_path,nsmells,loc,selected
151,openjpa-kernel/src/main/java/org/apache/openjpa/enhance/ReflectingPersistenceCapable.java,118,422,false
152,openjpa-kernel/src/main/java/org/apache/openjpa/enhance/CodeGenerator.java,117,631,false
153,openjpa-persistence/src/main/java/org/apache/openjpa/persistence/FetchPlanImpl.java,117,501,false
154,openjpa-jdbc/src/main/java/org/apache/openjpa/jdbc/kernel/FinderCacheImpl.java,116,412,false
155,openjpa-jdbc/src/main/java/org/apache/openjpa/jdbc/schema/ColumnIO.java,116,314,false
156,openjpa-kernel/src/main/java/org/apache/openjpa/kernel/DelegatingFetchConfiguration.java,115,669,false
157,openjpa-examples/openbooks/src/main/java/openbook/client/BuyBookPage.java,114,471,false
158,openjpa-jdbc/src/main/java/org/apache/openjpa/jdbc/meta/strats/RelationHandlerMapTableFieldStrategy.java,114,327,false
159,openjpa-jdbc/src/main/java/org/apache/openjpa/jdbc/meta/Version.java,113,411,false
160,openjpa-examples/openbooks/src/main/java/jpa/tools/swing/MetamodelHelper.java,112,275,false
161,openjpa-kernel/src/main/java/org/apache/openjpa/util/proxy/DelayedLinkedListProxy.java,111,723,false
162,openjpa-kernel/src/main/java/org/apache/openjpa/meta/FetchGroup.java,111,392,false
163,openjpa-slice/src/main/java/org/apache/openjpa/slice/jdbc/DistributedResultSet.java,109,1063,false
164,openjpa-jdbc/src/main/java/org/apache/openjpa/jdbc/schema/TableSchemaFactory.java,108,516,false
165,openjpa-jdbc/src/main/java/org/apache/openjpa/jdbc/schema/Schema.java,108,353,false
166,openjpa-kernel/src/main/java/org/apache/openjpa/util/proxy/DelayedVectorProxy.java,107,685,false
167,openjpa-persistence/src/main/java/org/apache/openjpa/persistence/EntityManagerFactoryImpl.java,107,505,false
168,openjpa-kernel/src/main/java/org/apache/openjpa/kernel/ManagedCache.java,106,308,false
169,openjpa-kernel/src/main/java/org/apache/openjpa/kernel/MethodStoreQuery.java,105,319,false
170,openjpa-persistence/src/main/java/org/apache/openjpa/persistence/meta/AnnotationProcessor6.java,104,441,false
171,openjpa-slice/src/main/java/org/apache/openjpa/slice/jdbc/DistributedConnection.java,104,403,false
172,openjpa-jdbc/src/main/java/org/apache/openjpa/jdbc/sql/H2Dictionary.java,103,485,false
173,openjpa-slice/src/main/java/org/apache/openjpa/slice/jdbc/DistributedTemplate.java,103,351,false
174,openjpa-kernel/src/main/java/org/apache/openjpa/util/ImplHelper.java,103,333,false
175,openjpa-examples/openbooks/src/main/java/jpa/tools/swing/PathFinder.java,103,182,false
176,openjpa-persistence/src/main/java/org/apache/openjpa/persistence/PersistenceProviderImpl.java,102,487,false
177,openjpa-jdbc/src/main/java/org/apache/openjpa/jdbc/kernel/PreparedStatementManagerImpl.java,101,316,false
178,openjpa-kernel/src/main/java/org/apache/openjpa/util/CacheMap.java,100,687,false
179,openjpa-jdbc/src/main/java/org/apache/openjpa/jdbc/sql/FirebirdDictionary.java,100,501,false
180,openjpa-jdbc/src/main/java/org/apache/openjpa/jdbc/sql/InformixDictionary.java,100,467,false
181,openjpa-jdbc/src/main/java/org/apache/openjpa/jdbc/kernel/NativeJDBCSeq.java,99,481,false
182,openjpa-kernel/src/main/java/org/apache/openjpa/kernel/DelegatingResultList.java,98,501,false
183,openjpa-persistence/src/main/java/org/apache/openjpa/persistence/PersistenceExceptions.java,98,344,false
184,openjpa-jdbc/src/main/java/org/apache/openjpa/jdbc/meta/strats/HandlerHandlerMapTableFieldStrategy.java,98,280,false
185,openjpa-lib/src/main/java/org/apache/openjpa/lib/meta/CFMetaDataParser.java,97,372,false
186,openjpa-jdbc/src/main/java/org/apache/openjpa/jdbc/meta/strats/StringFieldStrategy.java,97,291,false
187,openjpa-kernel/src/main/java/org/apache/openjpa/util/Exceptions.java,97,290,false
188,openjpa-kernel/src/main/java/org/apache/openjpa/enhance/ManagedClassSubclasser.java,96,331,false
189,openjpa-examples/openbooks/src/main/java/jpa/tools/swing/EntityDataModel.java,95,250,false
190,openjpa-jdbc/src/main/java/org/apache/openjpa/jdbc/sql/SybaseDictionary.java,94,498,false
191,openjpa-lib/src/main/java/org/apache/openjpa/lib/graph/DepthFirstAnalysis.java,94,346,false
192,openjpa-jdbc/src/main/java/org/apache/openjpa/jdbc/kernel/exps/SimpleCaseExpression.java,94,264,false
193,openjpa-persistence-jdbc/src/main/java/org/apache/openjpa/persistence/jdbc/PersistenceMappingDefaults.java,94,260,false
194,openjpa-examples/opentrader/src/main/java/org/apache/openjpa/trader/service/Exchange.java,93,278,false
195,openjpa-kernel/src/main/java/org/apache/openjpa/kernel/DetachedValueStateManager.java,92,726,false
196,openjpa-jdbc/src/main/java/org/apache/openjpa/jdbc/schema/DataSourceFactory.java,92,330,false
197,openjpa-lib/src/main/java/org/apache/openjpa/lib/util/StringUtil.java,91,457,false
198,openjpa-jdbc/src/main/java/org/apache/openjpa/jdbc/sql/RowManagerImpl.java,91,302,false
199,openjpa-kernel/src/main/java/org/apache/openjpa/kernel/AuditManager.java,89,388,false
200,openjpa-examples/opentrader/src/main/java/org/apache/openjpa/trader/client/ui/ScrollableTable.java,88,298,false
